;ticket_title;labels;priority;points;ticket_id;list_id;owner;list_name;team
168;Daily collect setting adaptation - RXB Scraper - config element convert_to_usd;[{u'color': None, u'id': u'5bcd18365b418c7815e2cb94', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Currency'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4d8d29be7f97ab34a4;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
169;V1 Media Type - ADF add media_type dimension collect;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'red', u'id': u'5bc90376a724a908c08b213b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'PI'}];;;5bcd8c4e4e900350a50a076e;5bcd1ac09408b66b4ddc82d9;[5b11207755e4e706bb81a64a];Done;PI
170;V1 Media Type - AOL add media_type dimension collect;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'red', u'id': u'5bc90376a724a908c08b213b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'PI'}];;;5bcd8c4e42f2ef05402f2e67;5bcd1ac09408b66b4ddc82d9;[5b11207755e4e706bb81a64a];Done;PI
171;V1 Media Type - IMP add media_type dimension collect;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'red', u'id': u'5bc90376a724a908c08b213b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'PI'}];;;5bcd8c4ebbdc0219d646cbb6;5bcd1ac09408b66b4ddc82d9;[5b11207755e4e706bb81a64a];Done;PI
172;V1 Media Type - SMA add media_type dimension collect;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'red', u'id': u'5bc90376a724a908c08b213b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'PI'}];;;5bcd8c4e15c70636605984af;5bcd1ac09408b66b4ddc82d9;[5b11207755e4e706bb81a64a];Done;PI
173;V1 Media Type - IDX add media_type dimension collect;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'red', u'id': u'5bc90376a724a908c08b213b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'PI'}];;;5bcd8c4eeb24c92a49536ba3;5bcd1ac09408b66b4ddc82d9;[5b11207755e4e706bb81a64a];Done;PI
174;V1 Media Type - OPX add media_type dimension collect;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'red', u'id': u'5bc90376a724a908c08b213b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'PI'}];;;5bcd8c4ebbdc0219d646cbaf;5bcd1ac09408b66b4ddc82d9;[5b11207755e4e706bb81a64a];Done;PI
175;V1 Media Type - RXB add media_type dimension collect;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'red', u'id': u'5bc90376a724a908c08b213b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'PI'}];;;5bcd8c4eaaee256302ce9f30;5bcd1ac09408b66b4ddc82d9;[5b11207755e4e706bb81a64a];Done;PI
176;V1 Media Type - AXB add media_type dimension collect;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'red', u'id': u'5bc90376a724a908c08b213b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'PI'}];;;5bcd8c4e859fc85d5beef24f;5bcd1ac09408b66b4ddc82d9;[5b11207755e4e706bb81a64a];Done;PI
177;V1 Media Type - GDX add media_type dimension collect;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'red', u'id': u'5bc90376a724a908c08b213b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'PI'}];;;5bcd8c4d4007cc357d5adeae;5bcd1ac09408b66b4ddc82d9;[5b11207755e4e706bb81a64a];Done;PI
178;Manage display top elements;[{u'color': u'green', u'id': u'5bc90376a724a908c08b2138', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Front'}];;;5bcf233a479e241cc7548c1b;5bcd1ac09408b66b4ddc82d9;[5b8d560e3a34d80351df5bc4];Done;Front
179;Sell Benchmark Key Metrics - App Coordination Metrics;[{u'color': None, u'id': u'5bcce83b65e8bc0f1e1abd97', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Sell Launch'}, {u'color': u'green', u'id': u'5bc90376a724a908c08b2138', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Front'}];;;5bcd8c4c323c62018057b544;5bcd1ac09408b66b4ddc82d9;[5b8e32c757c7a61b70ec8fe1];Done;Front
180;Sell Benchmark Key Metrics - App Coordination Metrics;[{u'color': None, u'id': u'5bcce83b65e8bc0f1e1abd97', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Sell Launch'}, {u'color': u'green', u'id': u'5bc90376a724a908c08b2138', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Front'}];;;5bcd8c4cbb8fb84784c8118d;5bcd1ac09408b66b4ddc82d9;[5b8e32c757c7a61b70ec8fe1];Done;Front
181;Sell Benchmark Key Metrics - App Coordination Other;[{u'color': None, u'id': u'5bcce83b65e8bc0f1e1abd97', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Sell Launch'}, {u'color': u'green', u'id': u'5bc90376a724a908c08b2138', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Front'}];;;5bcd8c4c9e7424724673c8f3;5bcd1ac09408b66b4ddc82d9;[5b8e32c757c7a61b70ec8fe1];Done;Front
182;Sell Benchmark Key Metrics - App Coordination Chart;[{u'color': None, u'id': u'5bcce83b65e8bc0f1e1abd97', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Sell Launch'}, {u'color': u'green', u'id': u'5bc90376a724a908c08b2138', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Front'}];;;5bcd8c4c15c7063660598488;5bcd1ac09408b66b4ddc82d9;[5b8e32c757c7a61b70ec8fe1];Done;Front
183;Sell Benchmark Scope - App Coordination Scope;[{u'color': None, u'id': u'5bcce83b65e8bc0f1e1abd97', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Sell Launch'}, {u'color': u'green', u'id': u'5bc90376a724a908c08b2138', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Front'}];;;5bcd8c4c7818f5845e735ebd;5bcd1ac09408b66b4ddc82d9;[5b8e32c757c7a61b70ec8fe1];Done;Front
184;Move to 2 decimal digits instead of 1 - Update Decimals;[{u'color': None, u'id': u'5bcd17f3644e280b6e0f26ed', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Enhanced_UI'}, {u'color': u'green', u'id': u'5bc90376a724a908c08b2138', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Front'}];;;5bcd8c4cba10400b07ee1685;5bcd1ac09408b66b4ddc82d9;[5b8d560e3a34d80351df5bc4];Done;Front
